iter	Passed	Remaining
418	2609	3618
419	2613	3608
420	2616	3598
421	2622	3592
422	2632	3590
423	2635	3580
424	2638	3569
425	2644	3563
426	2651	3557
427	2656	3550
428	2665	3548
429	2668	3536
430	2670	3525
431	2673	3514
432	2675	3503
433	2678	3493
434	2681	3482
435	2684	3471
436	2686	3461
437	2698	3462
438	2701	3452
439	2704	3441
440	2707	3431
441	2709	3421
442	2712	3411
443	2715	3401
444	2722	3395
445	2728	3389
446	2731	3379
447	2734	3369
448	2737	3359
449	2740	3349
450	2742	3338
451	2746	3329
452	2749	3319
453	2751	3309
454	2754	3299
455	2757	3289
456	2760	3279
457	2763	3270
458	2766	3260
459	2769	3251
460	2772	3241
461	2775	3231
462	2778	3222
463	2781	3213
464	2784	3203
465	2786	3193
466	2789	3183
467	2791	3173
468	2794	3163
469	2796	3154
470	2799	3144
471	2802	3134
472	2805	3125
473	2808	3116
474	2810	3106
475	2813	3097
476	2816	3088
477	2819	3078
478	2822	3069
479	2824	3060
480	2828	3051
481	2831	3042
482	2834	3033
483	2837	3024
484	2839	3015
485	2842	3005
486	2845	2996
487	2847	2988
488	2850	2979
489	2853	2969
490	2855	2960
491	2859	2952
492	2862	2944
493	2865	2935
494	2868	2926
495	2871	2917
496	2873	2908
497	2876	2899
498	2879	2891
499	2882	2882
500	2885	2873
501	2887	2864
502	2890	2855
503	2892	2847
504	2895	2837
505	2897	2829
506	2900	2820
507	2903	2811
508	2906	2803
509	2908	2794
510	2911	2786
511	2914	2777
512	2916	2769
513	2919	27651514	2922	27551515	2924	27451516	2927	27351517	2930	272518	2973	2756
519	2977	2748
520	2980	2740
521	2984	2732
522	2989	2726
523	2992	2717
524	2994	2709
525	2998	2701
526	3001	2693
527	3004	2685
528	3007	2677
529	3012	2671
530	3016	2664
531	3020	2656
532	3024	2649
533	3027	2641
534	3030	2633
535	3034	2627
536	3039	2620
537	3044	2614
538	3048	2607
539	3058	2605
540	3064	2599
541	3072	2596
542	3076	2589
543	3080	2582
544	3086	2577
545	3097	2575
546	3106	2572
547	3110	2565
548	3116	2559
549	3120	2552
550	3123	2544
551	3127	2537
552	3132	2531
553	3136	2525
554	3140	2518
555	3145	2511
556	3153	2507
557	3161	2504
558	3179	2508
559	3185	2503
560	3195	2500
561	3210	2501
562	3213	2494
563	3220	2489
564	3229	2486
565	3236	2481
566	3247	2479
567	3250	2472
568	3257	2467
569	3260	2459
570	3269	2456
571	3275	2450
572	3284	2447
573	3291	2442
574	3297	2437
575	3305	2433
576	3315	2430
577	3325	2427
578	3340	2428
579	3364	2436
580	3371	2431
581	3379	2427
582	3385	2421
583	3387	2413
584	3393	2407
585	3397	2400
586	3400	2392
587	3403	2385
588	3409	2379
589	3414	2372
590	3417	2364
591	3422	2358
592	3431	2354
593	3436	2348
594	3439	2341
595	3443	2333
596	3449	2328
597	3452	2320
598	3456	2313
599	3462	2308
600	3466	2301
601	3470	2294
602	3473	2286
603	3477	2279
604	3481	2272
605	3484	2265
606	3487	2257
607	3490	2250
608	3493	2242
609	3501	2238
610	3506	2232
611	3510	2225
612	3515	2219
613	3519	2212
614	3524	2206
615	3528	2199
616	3532	2192
617	3540	2188
618	3547	2183
619	3553	2177
620	3563	2174
621	3570	2170
622	3574	2162
623	3576	2155
624	3580	2148
625	3583	2140
626	3588	2134
627	3597	2131
628	3625	2138
629	3654	2146
630	3678	2151
631	3686	2146
632	3692	2140
633	3695	2133
634	3703	2128
635	3707	2121
636	3710	2114
637	3731	2117
638	3767	2128
639	3788	2130
640	3791	2123
641	3796	2116
642	3800	2110
643	3803	2102
644	3806	2094
645	3811	2088
646	3821	2084
647	3837	2084
648	3848	2081
649	3853	2074
650	3856	2067
651	3873	2067
652	3877	2060
653	3880	2053
654	3889	2048
655	3895	2043
656	3899	2035
657	3912	2033
658	3919	2028
659	3931	2025
660	3944	2022
661	3952	2017
662	3956	2010
663	3959	2003
664	3963	1996
665	3968	1990
666	3971	1982
667	3974	1975
668	3978	1968
669	3981	1960
670	3984	1953
671	3986	1945
672	3990	1938
673	3993	1931
674	3995	1923
675	3998	1916
676	4001	1909
677	4004	1901
678	4006	1894
679	4009	1886
680	4012	1879
681	4015	1872
682	4018	1865
683	4022	1858
684	4025	1851
685	4029	1844
686	4033	1837
687	4038	1831
688	4041	1824
689	4043	1816
690	4047	1809
691	4051	1803
692	4054	1796
693	4056	1788
694	4060	1781
695	4064	1775
696	4067	1768
697	4072	1762
698	4075	1754
699	4079	1748
700	4083	1741
701	4087	1735
702	4093	1729
703	4097	1722
704	4099	1715
705	4104	1709
706	4107	1702
707	4111	1695
708	4116	1689
709	4120	1682
710	4123	1676
711	4128	1669
712	4133	1663
713	4137	1657
714	4142	1651
715	4146	1644
716	4149	1637
717	4152	1630
718	4157	1625
719	4164	1619
720	4168	1613
721	4174	1607
72724	4040	153723	4186	1596
72726	4053	15272727	4060	15172728	4066	1511
729	4069	1505
730	4074	1499
731	4078	1493
732	4085	1488
733	4090	1482
734	4094	1476
735	4100	1470
736	4108	1466
737	4112	1460
738	4115	1453
739	4121	1448
740	4124	1441
741	4134	1437
742	4138	1431
743	4142	14274744	4146	1419
745	4153	1414
746	4156	1407
747	4160	1401
748	4171	1397
749	4173	1391
750	4178	1385
751	4182	1379
752	4184	1372
753	4189	1366
754	4197	1361
755	4200	1355
756	4204	1349
757	4208	1343
758	4213	1337
759	4216	1331
760	4219	1325
761	4221	1318
762	4225	1312
763	4228	1306
764	4232	1300
765	4235	1293
766	4238	1287
767	4242	1281
768	4244	1275
769	4248	1269
770	4251	1262
771	4254	1256
772	4257	1250
773	4259	1243
774	4263	1237
775	4268	1232
776	4271	1225
777	4274	1219
778	4278	1213
779	4283	1208
780	4288	1202
781	4293	1196
782	4298	1191
783	4303	1185
784	4306	1179
785	4309	1173
786	4314	1167
787	4317	1161
788	4321	1155
789	4325	1149
790	4330	1144
791	4336	1138
792	4340	1133
793	4345	1127
794	4350	1121
795	4354	1116
796	4357	1109
797	4360	1103
798	4366	1098
799	4370	1092
800	4373	1086
801	4378	1080
802	4382	10780803	4386	10680804	4389	10680805	4400	1059
806	4412	1055
807	4417	1049
808	4427	1045
809	4433	1039
810	4438	1034
811	4446	1029
812	4453	1024
813	4462	1019
814	4466	1013
815	4470	1008
816	4476	1002
817	4481	997
818	4486	991
819	4491	985
820	4498	980
821	4508	976
822	4512	970
823	4515	964
824	4522	959
825	4529	954
826	4532	948
827	4537	942
828	4546	937
829	4551	932
830	4556	926
831	4560	920
832	4563	914
833	4566	908
834	4569	902
835	4574	897
836	4577	891
837	4583	885
838	4590	880
839	4593	874
840	4597	869
841	4600	863
842	4604	857
843	4634	856
844	4639	851
845	4843	4788846	4844	4792847	4845	4798848	4662	829
849	4677	825
850	4680	819
851	4739	823
852	4749	818
853	4757	813
854	4770	808
855	4774	803
856	4789	799
857	4817	797
858	4830	792
859	4909	799
860	4913	793
861	4918	787
862	4922	781
863	4861	5045	807
862	5074	805
863	5092	801
864	5104	796
865	5111	790
866	5116	784
867	5125	779
868	5132	773
869	5137	767
870	5150	762
871	5153	756
872	5158	750
873	5166	744
874	5174	739
875	5181	733
876	5188	727
877	5198	722
878	5222	718
879	5231	713
880	5241	707
881	5256	703
882	5265	697
883	5270	691
884	5277	685
885	5283	679
886	5288	673
887	5296	667
888	5301	661
889	5308	656
890	5316	650
891	5323	644
892	5331	638
893	5335	632
894	5343	626
895	5349	620
896	5357	615
897	5363	609
898	5374	603
899	5379	597
900	5388	592
901	5401	586
902	5407	580
903	5410	574
904	5418	568
905	5427	563
906	5432	557
907	5440	551
908	5445	545
909	5447	538
910	5455	532
911	5461	526
912	5467	521
913	5473	514
914	5476	508
915	5480	502
916	5485	496
917	5490	490
918	5493	484
919	5499	478
920	5502	471
921	5506	465
922	5508	459
923	5512	453
924	5516	447
925	5519	441
926	5523	434
927	5525	428
928	5528	422
929	5533	416
930	5537	410
931	5543	404
932	5546	398
933	5548	392
934	5551	385
935	5553	379
936	5555	373
937	5557	367
938	5560	361
939	5563	355
940	5565	348
941	5568	342
942	5570	336
943	5572	330
944	5575	324
945	5577	318
946	5580	312
947	5582	306
948	5584	300
949	5587	294
950	5589	288
951	5592	281
952	5594	275
953	5596	269
954	5598	263
955	5600	257
956	5603	251
957	5605	245
958	5608	239
959	5610	233
960	5612	227
961	5615	221
962	5618	215
963	5620	209
964	5622	203
965	5624	197
966	5626	192
967	5628	186
968	5630	180
969	5632	174
970	5634	168
971	5636	162
972	5638	156
973	5641	150
974	5643	144
975	5646	138
976	5648	132
977	5650	127
978	5652	121
979	5654	115
980	5656	109
981	5658	103
982	5662	97
983	5664	92
984	5666	86
985	5668	80
986	5670	74
987	5672	68
988	5674	63
989	5676	57
990	5678	51
991	5680	45
992	5683	40
993	5685	34
994	5689	28
995	5694	22
996	5695	17
997	5698	11
998	5701	5
999	5703	0
5741	0
