iter	RMSE
473	72.1465506
474	72.00602545
475	71.8902594
476	71.72762627
477	71.54761688
478	71.47533503
479	71.40175659
480	71.36780868
481	71.22534797
482	71.08529415
483	70.95659931
484	70.84767575
485	70.75334023
486	70.59334148
487	70.41556143
488	70.32767382
489	70.24452374
490	70.14925894
491	69.95146897
492	69.80014273
493	69.71170127
494	69.62088732
495	69.5294871
496	69.417248
497	69.33117796
498	69.21219733
499	69.15572549
500	69.04690373
501	68.96211146
502	68.86320317
503	68.80289138
504	68.75680038
505	68.60755951
506	68.52055943
507	68.44030876
508	68.40393781
509	68.28105044
510	68.16831918
511	68.00788466
512	67.96793797
513	67.9160514	8514	67.7340515	8515	67.6056516	516	67.39392517	517	67.27590518	85.05440009
519	85.01104336
520	84.80700151
521	84.62894399
522	84.54423374
523	84.488078
524	84.29857615
525	84.05578729
526	83.92264852
527	83.83340634
528	83.78782891
529	83.58333117
530	83.40324255
531	83.25841142
532	83.06087016
533	82.86158497
534	82.68263018
535	82.45512825
536	82.23226498
537	82.05965082
538	81.90153955
539	81.75860505
540	81.54729269
541	81.47724477
542	81.37895642
543	81.29585299
544	81.25239971
545	81.20442108
546	81.17427031
547	80.97273596
548	80.8686411
549	80.78076733
550	80.65087565
551	80.44691727
552	80.33855353
553	80.25795646
554	80.0614663
555	79.86860942
556	79.78720482
557	79.73044448
558	79.66753784
559	79.63253228
560	79.58702572
561	79.40407088
562	79.38050467
563	79.17525978
564	78.98121449
565	78.96414166
566	78.76940839
567	78.63823284
568	78.37555298
569	78.20802071
570	78.09413128
571	78.03462705
572	77.85307267
573	77.75566324
574	77.53435261
575	77.2848525
576	77.18657159
577	77.02756636
578	76.80950815
579	76.64528971
580	76.45956275
581	76.38267643
582	76.07338297
583	76.05433728
584	75.89770361
585	75.8810699
586	75.69251345
587	75.61235687
588	75.37011959
589	75.224894
590	75.07857902
591	74.91420673
592	74.86977132
593	74.70605403
594	74.68223409
595	74.56350386
596	74.39662612
597	74.36453181
598	74.30282113
599	74.2516398
600	74.04225281
601	73.87990006
602	73.80783931
603	73.72322882
604	73.67405161
605	73.62971983
606	73.55759925
607	73.50759635
608	73.42759688
609	73.34279709
610	73.31674036
611	73.28725509
612	73.23168321
613	73.12137494
614	72.9559848
615	72.75805452
616	72.62581017
617	72.52367238
618	72.42098989
619	72.33616171
620	72.26872905
621	72.0950697
622	72.06809922
623	71.88935067
624	71.8271856
625	71.56529917
626	71.5495875
627	71.53001504
628	71.35787598
629	71.2126705
630	71.18478833
631	71.14562684
632	70.93366968
633	70.78952272
634	70.58389406
635	70.51328902
636	70.40102789
637	70.23282471
638	70.05775463
639	70.02235197
640	69.96005283
641	69.79807811
642	69.5275388
643	69.43213954
644	69.38523065
645	69.23051474
646	69.03101652
647	68.85176584
648	68.79004118
649	68.69840289
650	68.68576363
651	68.58418448
652	68.52631688
653	68.38590071
654	68.35965486
655	68.23477479
656	68.18942612
657	68.16315785
658	68.1393849
659	67.9716601
660	67.87696185
661	67.78166163
662	67.75834244
663	67.62030865
664	67.56207576
665	67.42320217
666	67.25617339
667	67.08329744
668	67.02613092
669	67.00348489
670	66.88332471
671	66.70268017
672	66.52770767
673	66.37671822
674	66.25040186
675	66.1851335
676	66.00677713
677	65.83012275
678	65.68014183
679	65.43262361
680	65.17602273
681	65.03006394
682	65.01615674
683	64.90925622
684	64.82451464
685	64.69398023
686	64.57159753
687	64.56058243
688	64.46367564
689	64.29762487
690	64.24217445
691	64.14257432
692	64.04009454
693	63.86066892
694	63.68640725
695	63.56563706
696	63.54373615
697	63.44592268
698	63.37613946
699	63.26603477
700	63.1488597
701	63.02377213
702	62.97869569
703	62.93563552
704	62.83604052
705	62.7336051
706	62.7026808
707	62.62214105
708	62.4607449
709	62.38042769
710	62.35095903
711	62.20811634
712	62.18486731
713	62.1002431
714	62.00204202
715	61.89803495
716	61.86325212
717	61.79986577
718	61.68858946
719	61.56179062
720	61.46017255
721	61.35670001
722	61.3092925
723	61.18367851
724	61.05225128
725	60.95873875
726	60.92686057
727	6728	63.5103728	6729	63.4359729	6730	63.4176730	6731	63.35880718
732	63.34056967
733	63.24223921
734	63.14433004
735	63.09966429
736	63.05485862
737	63.01660478
738	62.738	59.81739	62739	59.757740	62740	59.706741	6741	59.6065742	6742	59.53730495
743	59.4371744	6744	59.3737745	6745	59.2724746	6746	59.2076747	6747	59.1095748	62.09070994
749	62.05201999
750	61.92588976
751	61.79409064
752	61.74177499
753	61.70483623
754	61.67276011
755	61.63132962
756	61.57716753
757	61.45410516
758	61.3425388
759	61.30556695
760	61.18422247
761	61.1309671
762	61.00547632
763	60.94808395
764	60.80453013
765	60.7294868
766	60.6942086
767	60.5700316
768	60.54854575
769	60.48954409
770	60.46762596
771	60.43671458
772	60.34422362
773	60.3254814
774	60.24532902
775	60.14463814
776	60.07046854
777	60.01014467
778	59.81308106
779	59.72556722
780	59.64900928
781	59.55825667
782	59.45913836
783	59.34733429
784	59.31933916
785	59.21946021
786	59.19901702
787	59.09841468
788	59.06598946
789	59.00856061
790	58.99651519
791	58.96373699
792	58.88949631
793	58.7731559
794	58.75891452
795	58.6056159
796	58.5104796	5797	58.4827797	5798	58.4227798	5799	58.2897799	5800	58.2776800	5801	58.2634801	54.97376658
802	54.89250789
803	54.78600064
804	5805	57.91147958
806	57.82896717
807	57.7113544
808	57.61098027
809	57.50932465
810	57.42946276
811	57.37485292
812	57.35841652
813	57.33715217
814	57.26168393
815	57.23536963
816	57.18860618
817	57.16495565
818	57.03921077
819	56.96702295
820	56.89777309
821	56.80510881
822	56.77630583
823	56.62952579
824	56.61399786
825	56.50491804
826	56.37758516
827	56.3001983
828	56.13718654
829	56.04433323
830	55.95361515
831	55.86885206
832	55.86015488
833	55.79508565
834	55.7466164
835	55.62581242
836	55.59868016
837	55.53028273
838	55.48911934
839	55839	51.799840	55840	51.751841	55841	51.647842	55842	51.599843	55843	51.55727055
844	51.435981928845	51.34670901
846	51.33237498
847	51.27379844
848	51.199849	54849	51.174850	54850	51.056851	54.58096493
852	5852	44.3061853	54.4337658
854	54854	44.243855	54.35169687
856	856	44.14768857	54.21455368
858	54.19318319
859	54.1116761
860	54.04526094
861	5861	43.93985325
862	43.86006655
863	43.80339746
864	43.67816728
865	43.64615969
866	43.60627738
867	43.55882609
868	43.52785803
869	43.38138133
870	43.2583303
871	43.20831014
872	43.14926191
873	43.13914975
874	43.07015175
875	43.04242178
876	42.90108425
877	42.83931983
878	42.78972099
879	42.70965315
880	42.67176323
881	42.65299246
882	42.62048703
883	42.55773537
884	42.52355109
885	42.42049141
886	42.3909483
887	42.35515415
888	42.31817598
889	42.25064885
890	42.18744789
891	42.13620346
892	42.12647024
893	42.0394992
894	41.99435394
895	41.95287462
896	41.90411591
897	41.85259165
898	41.82996322
899	41.76014186
900	41.71261715
901	41.68872084
902	41.65821582
903	41.60390918
904	41.46894663
905	41.41796507
906	41.38652557
907	41.34151465
908	41.32604921
909	41.28846417
910	41.23068343
911	41.14557547
912	41.11871619
913	41.07159174
914	40.97971424
915	40.93410149
916	40.90920891
917	40.87299338
918	40.84344406
919	40.73105592
920	40.66557738
921	40.64495064
922	40.60565647
923	40.56207153
924	40.51575834
925	40.49431912
926	40.46329253
927	40.44022281
928	40.40558791
929	40.38342584
930	40.37120336
931	40.31736128
932	40.27615039
933	40.23641061
934	40.21096766
935	40.17606278
936	40.16977808
937	40.15303642
938	40.13691318
939	40.09624605
940	40.02033114
941	39.98142799
942	39.95554243
943	39.92814388
944	39.88633902
945	39.86502888
946	39.80730416
947	39.78487424
948	39.76426704
949	39.75705652
950	39.72603701
951	39.67203152
952	39.61892673
953	39.60624649
954	39.57638236
955	39.53700551
956	39.49340165
957	39.46378562
958	39.42483625
959	39.39954497
960	39.3357877
961	39.28131215
962	39.22931749
963	39.18571771
964	39.16303388
965	39.12893803
966	39.06786467
967	39.02578533
968	38.98501395
969	38.89301344
970	38.87511141
971	38.82733164
972	38.76082548
973	38.67449362
974	38.65248468
975	38.63233765
976	38.60446981
977	38.55073295
978	38.51305685
979	38.45241875
980	38.42065762
981	38.37407439
982	38.33483034
983	38.28553669
984	38.26820967
985	38.24397395
986	38.22513291
987	38.14580918
988	38.13187294
989	38.09951157
990	38.00820532
991	37.96807945
992	37.91848116
993	37.89557488
994	37.87458821
995	37.82089648
996	37.77564198
997	37.72544338
998	37.68321892
999	37.66714994
